VARIABLE,REGION,YEAR,VALUE
ObjFunctionCurtailment,LESVOS,2030,1.8991127790865887
ObjFunctionCurtailment,LESVOS,2035,0.8135521207946729
ObjFunctionCurtailment,LESVOS,2040,0.6229740455429271
ObjFunctionCurtailment,LESVOS,2045,0.49344038672180623
ObjFunctionCurtailment,LESVOS,2050,0.11258402200210404
ObjFunctionCurtailment,RODOS,2023,4.844200718934748e-07
ObjFunctionCurtailment,RODOS,2025,4.056496451590727e-07
ObjFunctionCurtailment,RODOS,2030,14.315896184651805
ObjFunctionCurtailment,RODOS,2035,0.6496398849171121
ObjFunctionCurtailment,RODOS,2040,0.35306375027796977
ObjFunctionCurtailment,RODOS,2045,0.15780611572444345
ObjFunctionCurtailment,RODOS,2050,0.009343484759315011
ObjFunctionCurtailment,SAMOS,2023,0.007441210544100598
ObjFunctionCurtailment,SAMOS,2025,0.013267571781538062
ObjFunctionCurtailment,SAMOS,2030,1.1984650171110687
ObjFunctionCurtailment,SAMOS,2035,0.7881659157977094
ObjFunctionCurtailment,SAMOS,2040,0.5246791798160455
ObjFunctionCurtailment,SAMOS,2045,0.44371904298591275
ObjFunctionCurtailment,SAMOS,2050,0.07591538463884114
ObjFunctionCurtailment,SERIFOS,2023,1.3262526921074223e-07
ObjFunctionCurtailment,SERIFOS,2025,1.1061408813844481e-07
ObjFunctionCurtailment,SERIFOS,2030,4.121326166434633
ObjFunctionCurtailment,SERIFOS,2035,3.119861717648287
ObjFunctionCurtailment,SERIFOS,2040,2.567029009380095
ObjFunctionCurtailment,SERIFOS,2045,1.72750814349343
ObjFunctionCurtailment,SERIFOS,2050,0.267044424379187
ObjFunctionCurtailment,SKYROS,2023,1.323671966081311e-07
ObjFunctionCurtailment,SKYROS,2025,1.1032179824328469e-07
ObjFunctionCurtailment,SKYROS,2030,0.16454275444384275
ObjFunctionCurtailment,SKYROS,2035,9.221927485773008
ObjFunctionCurtailment,SKYROS,2040,8.058754593525002
ObjFunctionCurtailment,SKYROS,2045,5.760220011057253
ObjFunctionCurtailment,SKYROS,2050,1.0005737468388118
ObjFunctionCurtailment,THIRA,2023,1.6434670139980501e-07
ObjFunctionCurtailment,THIRA,2025,1.38161585931771e-07
ObjFunctionCurtailment,THIRA,2030,3.4188298503449053
ObjFunctionCurtailment,THIRA,2035,3.275493176233381
ObjFunctionCurtailment,THIRA,2040,2.5804209828536333
ObjFunctionCurtailment,THIRA,2045,1.2651635679292124
ObjFunctionCurtailment,THIRA,2050,0.19092903172355916
