VARIABLE,REGION,TECHNOLOGY,YEAR,VALUE
ObjFunction,Crete,Elec_Network,2045,36.31577645633762
ObjFunction,Crete,Elec_Network,2050,7.901170128838238
ObjFunction,Crete,Linoperamata,2023,15.212762884989214
ObjFunction,Crete,Linoperamata,2025,28.87031119761605
ObjFunction,Crete,Linoperamata,2030,19.648642894243
ObjFunction,Crete,Linoperamata,2035,13.372537398211126
ObjFunction,Crete,Linoperamata,2040,9.101125747459879
ObjFunction,Crete,Linoperamata,2045,6.4654104855796115
ObjFunction,Crete,Linoperamata,2050,1.1322270953387954
ObjFunction,Crete,OffshoreWind,2023,0.0
ObjFunction,Crete,OffshoreWind,2025,0.0
ObjFunction,Crete,OffshoreWind,2030,2.7320470365942264e-05
ObjFunction,Crete,OffshoreWind,2035,0.00010200702992488814
ObjFunction,Crete,OffshoreWind,2040,120.10696752987401
ObjFunction,Crete,OffshoreWind,2045,126.20600349307387
ObjFunction,Crete,OffshoreWind,2050,23.107410717029527
ObjFunction,Crete,OilImports,2023,519.6826902091204
ObjFunction,Crete,OilImports,2025,491.5150032075406
ObjFunction,Crete,OilImports,2030,1.2390040368975137
ObjFunction,Crete,OilImports,2035,1.814873741953297e-05
ObjFunction,Crete,OilImports,2040,1.1546397745842089e-05
ObjFunction,Crete,OilImports,2045,1.0141811876417197
ObjFunction,Crete,OilImports,2050,0.2513956994451444
ObjFunction,Crete,PV,2023,0.0
ObjFunction,Crete,PV,2025,0.0
ObjFunction,Crete,PV,2030,114.98561465921011
ObjFunction,Crete,PV,2035,100.6689282103668
ObjFunction,Crete,PV,2040,104.12415474302077
ObjFunction,Crete,PV,2045,90.92034514629984
ObjFunction,Crete,PV,2050,18.70145968316114
ObjFunction,Crete,PV_Ex,2023,2.030606994384088
ObjFunction,Crete,PV_Ex,2025,3.8777762126051782
ObjFunction,Crete,PV_Ex,2030,2.6391493309881953
ObjFunction,Crete,PV_Ex,2035,1.7320394580431504
ObjFunction,Crete,PV_Ex,2040,1.1351571198177184
ObjFunction,Crete,PV_Ex,2045,0.742868325443785
ObjFunction,Crete,PV_Ex,2050,0.1176686950664294
ObjFunction,Crete,RoR,2023,0.0
ObjFunction,Crete,RoR,2025,0.0
