VARIABLE,REGION,YEAR,VALUE
ObjFunctionSurplus,KARPATHOS,2040,1.024312015589871e-05
ObjFunctionSurplus,KARPATHOS,2045,1.0244067216578261e-05
ObjFunctionSurplus,KARPATHOS,2050,1.0239921772385711e-05
ObjFunctionSurplus,KOS,2023,1.0218916677416687e-05
ObjFunctionSurplus,KOS,2025,1.020960149372304e-05
ObjFunctionSurplus,KOS,2030,1.0234206941411971e-05
ObjFunctionSurplus,KOS,2035,1.0239902360729096e-05
ObjFunctionSurplus,KOS,2040,1.0240409617927888e-05
ObjFunctionSurplus,KOS,2045,1.0241173980132563e-05
ObjFunctionSurplus,KOS,2050,1.0236606481453725e-05
ObjFunctionSurplus,LEMNOS,2023,1.0208442558391427e-05
ObjFunctionSurplus,LEMNOS,2025,1.0196990918214029e-05
ObjFunctionSurplus,LEMNOS,2030,1.0230324807785818e-05
ObjFunctionSurplus,LEMNOS,2035,1.0241016163648893e-05
ObjFunctionSurplus,LEMNOS,2040,1.0242014674232676e-05
ObjFunctionSurplus,LEMNOS,2045,1.0244005287442336e-05
ObjFunctionSurplus,LEMNOS,2050,1.0245729309083464e-05
ObjFunctionSurplus,LESVOS,2023,1.0218460114027588e-05
ObjFunctionSurplus,LESVOS,2025,1.0209279698512828e-05
ObjFunctionSurplus,LESVOS,2030,1.0229659741955824e-05
ObjFunctionSurplus,LESVOS,2035,1.0240045276154692e-05
ObjFunctionSurplus,LESVOS,2040,1.0241010204039212e-05
ObjFunctionSurplus,LESVOS,2045,1.0242917683361943e-05
ObjFunctionSurplus,LESVOS,2050,1.024352508632927e-05
ObjFunctionSurplus,RODOS,2023,1.0219068054691307e-05
ObjFunctionSurplus,RODOS,2025,1.0209679053083201e-05
ObjFunctionSurplus,RODOS,2030,1.0236153209883863e-05
ObjFunctionSurplus,RODOS,2035,1.023988653625328e-05
ObjFunctionSurplus,RODOS,2040,1.0240125557782198e-05
ObjFunctionSurplus,RODOS,2045,1.0241099848742742e-05
ObjFunctionSurplus,RODOS,2050,1.02367130375665e-05
ObjFunctionSurplus,SAMOS,2023,1.020897661072403e-05
ObjFunctionSurplus,SAMOS,2025,1.0197591314546e-05
ObjFunctionSurplus,SAMOS,2030,1.0232004018964279e-05
ObjFunctionSurplus,SAMOS,2035,1.0240486559794581e-05
ObjFunctionSurplus,SAMOS,2040,1.0241330421415698e-05
ObjFunctionSurplus,SAMOS,2045,1.0242853493680417e-05
ObjFunctionSurplus,SAMOS,2050,1.0243097963369955e-05
ObjFunctionSurplus,SERIFOS,2023,1.0207786826591587e-05
ObjFunctionSurplus,SERIFOS,2025,1.0196373568105917e-05
ObjFunctionSurplus,SERIFOS,2030,1.0242974310588732e-05
ObjFunctionSurplus,SERIFOS,2035,1.0242937193104387e-05
ObjFunctionSurplus,SERIFOS,2040,1.0243017144052488e-05
ObjFunctionSurplus,SERIFOS,2045,1.0243542097944477e-05
ObjFunctionSurplus,SERIFOS,2050,1.0238959410738117e-05
ObjFunctionSurplus,SKYROS,2023,1.0207571709505669e-05
ObjFunctionSurplus,SKYROS,2025,1.0196186544548741e-05
ObjFunctionSurplus,SKYROS,2030,1.023045778203676e-05
ObjFunctionSurplus,SKYROS,2035,1.024175406759271e-05
ObjFunctionSurplus,SKYROS,2040,1.0242273177979472e-05
ObjFunctionSurplus,SKYROS,2045,1.0243926112809279e-05
ObjFunctionSurplus,SKYROS,2050,1.024466713734163e-05
ObjFunctionSurplus,THIRA,2023,1.0218090954635997e-05
ObjFunctionSurplus,THIRA,2025,1.02092610911861e-05
ObjFunctionSurplus,THIRA,2030,1.0241787840153009e-05
ObjFunctionSurplus,THIRA,2035,1.0240913171300661e-05
ObjFunctionSurplus,THIRA,2040,1.0241511432904984e-05
ObjFunctionSurplus,THIRA,2045,1.0242367538356974e-05
ObjFunctionSurplus,THIRA,2050,1.0236885470094269e-05
