VARIABLE,REGION,STORAGE,YEAR,VALUE
DiscountedvAnnCapexStor,EL30,Thisavros_S,2023,-0.0
DiscountedvAnnCapexStor,EL30,Thisavros_S,2025,-0.0
DiscountedvAnnCapexStor,EL30,Thisavros_S,2030,-0.0
DiscountedvAnnCapexStor,EL30,Thisavros_S,2035,-0.0
DiscountedvAnnCapexStor,EL30,Thisavros_S,2040,-0.0
DiscountedvAnnCapexStor,EL30,Thisavros_S,2045,-0.0
DiscountedvAnnCapexStor,EL30,Thisavros_S,2050,-0.0
DiscountedvAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2023,1.4150725010009295e-06
DiscountedvAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2025,1.3209452966035295e-06
DiscountedvAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2030,2.506811996254339e-06
DiscountedvAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2035,3.7738992750451566e-06
DiscountedvAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2040,9.426722164661283e-06
DiscountedvAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2045,3.045996475049193e-05
DiscountedvAnnCapexStor,EL51,BATTERY_STORAGE_NEW,2050,0.7260265686201972
DiscountedvAnnCapexStor,EL51,HPS_STORAGE_NEW,2023,-0.0
DiscountedvAnnCapexStor,EL51,HPS_STORAGE_NEW,2025,-0.0
DiscountedvAnnCapexStor,EL51,HPS_STORAGE_NEW,2030,-0.0
DiscountedvAnnCapexStor,EL51,HPS_STORAGE_NEW,2035,-0.0
DiscountedvAnnCapexStor,EL51,HPS_STORAGE_NEW,2040,-0.0
DiscountedvAnnCapexStor,EL51,HPS_STORAGE_NEW,2045,-0.0
DiscountedvAnnCapexStor,EL51,HPS_STORAGE_NEW,2050,-0.0
DiscountedvAnnCapexStor,EL51,Sfikia_S,2023,-0.0
DiscountedvAnnCapexStor,EL51,Sfikia_S,2025,-0.0
DiscountedvAnnCapexStor,EL51,Sfikia_S,2030,-0.0
DiscountedvAnnCapexStor,EL51,Sfikia_S,2035,-0.0
DiscountedvAnnCapexStor,EL51,Sfikia_S,2040,-0.0
DiscountedvAnnCapexStor,EL51,Sfikia_S,2045,-0.0
DiscountedvAnnCapexStor,EL51,Sfikia_S,2050,-0.0
DiscountedvAnnCapexStor,EL51,Thisavros_S,2023,-0.0
DiscountedvAnnCapexStor,EL51,Thisavros_S,2025,-0.0
DiscountedvAnnCapexStor,EL51,Thisavros_S,2030,-0.0
DiscountedvAnnCapexStor,EL51,Thisavros_S,2035,-0.0
DiscountedvAnnCapexStor,EL51,Thisavros_S,2040,-0.0
DiscountedvAnnCapexStor,EL51,Thisavros_S,2045,-0.0
DiscountedvAnnCapexStor,EL51,Thisavros_S,2050,-0.0
DiscountedvAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2023,1.4147020021233162e-06
DiscountedvAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2025,1.3181678163354543e-06
DiscountedvAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2030,2.691127286599486e-06
DiscountedvAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2035,3.9195442374219755e-06
DiscountedvAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2040,3.4427395213722474e-05
DiscountedvAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2045,10.083824944960858
DiscountedvAnnCapexStor,EL52,BATTERY_STORAGE_NEW,2050,8.31889937682372
DiscountedvAnnCapexStor,EL52,HPS_STORAGE_NEW,2023,-0.0
DiscountedvAnnCapexStor,EL52,HPS_STORAGE_NEW,2025,-0.0
DiscountedvAnnCapexStor,EL52,HPS_STORAGE_NEW,2030,-0.0
DiscountedvAnnCapexStor,EL52,HPS_STORAGE_NEW,2035,-0.0
DiscountedvAnnCapexStor,EL52,HPS_STORAGE_NEW,2040,-0.0
DiscountedvAnnCapexStor,EL52,HPS_STORAGE_NEW,2045,-0.0
DiscountedvAnnCapexStor,EL52,HPS_STORAGE_NEW,2050,-0.0
DiscountedvAnnCapexStor,EL52,Sfikia_S,2023,-0.0
DiscountedvAnnCapexStor,EL52,Sfikia_S,2025,-0.0
DiscountedvAnnCapexStor,EL52,Sfikia_S,2030,-0.0
DiscountedvAnnCapexStor,EL52,Sfikia_S,2035,-0.0
DiscountedvAnnCapexStor,EL52,Sfikia_S,2040,-0.0
DiscountedvAnnCapexStor,EL52,Sfikia_S,2045,-0.0
DiscountedvAnnCapexStor,EL52,Sfikia_S,2050,-0.0
DiscountedvAnnCapexStor,EL52,Thisavros_S,2023,-0.0
DiscountedvAnnCapexStor,EL52,Thisavros_S,2025,-0.0
DiscountedvAnnCapexStor,EL52,Thisavros_S,2030,-0.0
DiscountedvAnnCapexStor,EL52,Thisavros_S,2035,-0.0
DiscountedvAnnCapexStor,EL52,Thisavros_S,2040,-0.0
DiscountedvAnnCapexStor,EL52,Thisavros_S,2045,-0.0
DiscountedvAnnCapexStor,EL52,Thisavros_S,2050,-0.0
DiscountedvAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2023,1.4109534356677395e-06
DiscountedvAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2025,1.3125483687484826e-06
DiscountedvAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2030,2.855978051929092e-06
DiscountedvAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2035,4.202240340706166e-06
DiscountedvAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2040,8.782050786759413e-06
DiscountedvAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2045,3.2894777075565116e-05
DiscountedvAnnCapexStor,EL53,BATTERY_STORAGE_NEW,2050,4.25602081473251e-05
DiscountedvAnnCapexStor,EL53,HPS_STORAGE_NEW,2023,-0.0
DiscountedvAnnCapexStor,EL53,HPS_STORAGE_NEW,2025,-0.0
DiscountedvAnnCapexStor,EL53,HPS_STORAGE_NEW,2030,-0.0
DiscountedvAnnCapexStor,EL53,HPS_STORAGE_NEW,2035,-0.0
