REGION,FUEL,YEAR,VALUE
Greece,Elec_Demand,2023,0.1
Greece,Elec_Demand,2025,1
Greece,Elec_Demand,2030,1
Greece,Elec_Demand,2035,1
Greece,Elec_Demand,2040,1
Greece,Elec_Demand,2045,1
Greece,Elec_Demand,2050,1
