REGION,FUEL,TIMESLICE,YEAR,VALUE
Greece,Elec_Demand,m1_d5_t10,2023,0.001641731
Greece,Elec_Demand,m1_d5_t11,2023,0.001692747
Greece,Elec_Demand,m1_d5_t12,2023,0.001679366
Greece,Elec_Demand,m1_d5_t13,2023,0.001568412
Greece,Elec_Demand,m1_d5_t14,2023,0.001569527
Greece,Elec_Demand,m1_d5_t15,2023,0.001569806
Greece,Elec_Demand,m1_d5_t16,2023,0.001601308
Greece,Elec_Demand,m1_d5_t17,2023,0.001756588
Greece,Elec_Demand,m1_d5_t18,2023,0.00179478
Greece,Elec_Demand,m1_d5_t19,2023,0.001774151
Greece,Elec_Demand,m1_d5_t20,2023,0.001692468
Greece,Elec_Demand,m1_d5_t21,2023,0.001579842
Greece,Elec_Demand,m1_d5_t22,2023,0.001460245
Greece,Elec_Demand,m1_d5_t23,2023,0.00132448
Greece,Elec_Demand,m1_d5_t24,2023,0.001204326
Greece,Elec_Demand,m2_d1_t1,2023,0.000113263
Greece,Elec_Demand,m2_d1_t2,2023,0.00011067
Greece,Elec_Demand,m2_d1_t3,2023,0.000108293
Greece,Elec_Demand,m2_d1_t4,2023,0.00011147
Greece,Elec_Demand,m2_d1_t5,2023,0.00012452
Greece,Elec_Demand,m2_d1_t6,2023,0.000142216
Greece,Elec_Demand,m2_d1_t7,2023,0.000159437
Greece,Elec_Demand,m2_d1_t8,2023,0.000172077
Greece,Elec_Demand,m2_d1_t9,2023,0.000177565
Greece,Elec_Demand,m2_d1_t10,2023,0.00017804
Greece,Elec_Demand,m2_d1_t11,2023,0.000174886
Greece,Elec_Demand,m2_d1_t12,2023,0.00017024
Greece,Elec_Demand,m2_d1_t13,2023,0.000163412
Greece,Elec_Demand,m2_d1_t14,2023,0.00016419
Greece,Elec_Demand,m2_d1_t15,2023,0.000163131
Greece,Elec_Demand,m2_d1_t16,2023,0.000165551
Greece,Elec_Demand,m2_d1_t17,2023,0.000178451
Greece,Elec_Demand,m2_d1_t18,2023,0.000181929
Greece,Elec_Demand,m2_d1_t19,2023,0.000176571
Greece,Elec_Demand,m2_d1_t20,2023,0.000165767
Greece,Elec_Demand,m2_d1_t21,2023,0.000151723
Greece,Elec_Demand,m2_d1_t22,2023,0.000138953
Greece,Elec_Demand,m2_d1_t23,2023,0.000123591
Greece,Elec_Demand,m2_d1_t24,2023,0.000111902
Greece,Elec_Demand,m2_d2_t1,2023,9.45E-05
Greece,Elec_Demand,m2_d2_t2,2023,9.20E-05
Greece,Elec_Demand,m2_d2_t3,2023,9.06E-05
Greece,Elec_Demand,m2_d2_t4,2023,9.17E-05
Greece,Elec_Demand,m2_d2_t5,2023,0.000102978
Greece,Elec_Demand,m2_d2_t6,2023,0.000116007
Greece,Elec_Demand,m2_d2_t7,2023,0.00012398
Greece,Elec_Demand,m2_d2_t8,2023,0.000128755
Greece,Elec_Demand,m2_d2_t9,2023,0.000128388
Greece,Elec_Demand,m2_d2_t10,2023,0.000125384
Greece,Elec_Demand,m2_d2_t11,2023,0.000123202
Greece,Elec_Demand,m2_d2_t12,2023,0.00011955
Greece,Elec_Demand,m2_d2_t13,2023,0.000114473
Greece,Elec_Demand,m2_d2_t14,2023,0.000113695
Greece,Elec_Demand,m2_d2_t15,2023,0.000115748
Greece,Elec_Demand,m2_d2_t16,2023,0.00011981
Greece,Elec_Demand,m2_d2_t17,2023,0.00013165
Greece,Elec_Demand,m2_d2_t18,2023,0.00013958
Greece,Elec_Demand,m2_d2_t19,2023,0.000139061
Greece,Elec_Demand,m2_d2_t20,2023,0.00013219
Greece,Elec_Demand,m2_d2_t21,2023,0.000122143
Greece,Elec_Demand,m2_d2_t22,2023,0.000113285
Greece,Elec_Demand,m2_d2_t23,2023,0.000102438
Greece,Elec_Demand,m2_d2_t24,2023,9.36E-05
Greece,Elec_Demand,m2_d3_t1,2023,9.31E-05
Greece,Elec_Demand,m2_d3_t2,2023,8.99E-05
Greece,Elec_Demand,m2_d3_t3,2023,8.76E-05
Greece,Elec_Demand,m2_d3_t4,2023,8.85E-05
Greece,Elec_Demand,m2_d3_t5,2023,9.19E-05
Greece,Elec_Demand,m2_d3_t6,2023,9.49E-05
Greece,Elec_Demand,m2_d3_t7,2023,9.62E-05
Greece,Elec_Demand,m2_d3_t8,2023,9.98E-05
Greece,Elec_Demand,m2_d3_t9,2023,0.000106392
Greece,Elec_Demand,m2_d3_t10,2023,0.000110735
Greece,Elec_Demand,m2_d3_t11,2023,0.000111275
Greece,Elec_Demand,m2_d3_t12,2023,0.000107407
Greece,Elec_Demand,m2_d3_t13,2023,0.000100083
Greece,Elec_Demand,m2_d3_t14,2023,9.79E-05
Greece,Elec_Demand,m2_d3_t15,2023,9.56E-05
Greece,Elec_Demand,m2_d3_t16,2023,0.00010179
Greece,Elec_Demand,m2_d3_t17,2023,0.000116914
Greece,Elec_Demand,m2_d3_t18,2023,0.000126335
Greece,Elec_Demand,m2_d3_t19,2023,0.000126443
Greece,Elec_Demand,m2_d3_t20,2023,0.000121517
Greece,Elec_Demand,m2_d3_t21,2023,0.000113112
Greece,Elec_Demand,m2_d3_t22,2023,0.000105031
Greece,Elec_Demand,m2_d3_t23,2023,9.42E-05
Greece,Elec_Demand,m2_d3_t24,2023,8.63E-05
Greece,Elec_Demand,m2_d4_t1,2023,0.000926414
Greece,Elec_Demand,m2_d4_t2,2023,0.00090969
Greece,Elec_Demand,m2_d4_t3,2023,0.000891216
Greece,Elec_Demand,m2_d4_t4,2023,0.000918246
Greece,Elec_Demand,m2_d4_t5,2023,0.001004587
Greece,Elec_Demand,m2_d4_t6,2023,0.001160545
Greece,Elec_Demand,m2_d4_t7,2023,0.001285389
Greece,Elec_Demand,m2_d4_t8,2023,0.001394288
Greece,Elec_Demand,m2_d4_t9,2023,0.001450292
Greece,Elec_Demand,m2_d4_t10,2023,0.001470711
Greece,Elec_Demand,m2_d4_t11,2023,0.001450292
