REGION,TECHNOLOGY,YEAR,VALUE
Greece,Ag_Dimitriou_I,2023,0.9
Greece,Ag_Dimitriou_I,2025,0.9
Greece,Ag_Dimitriou_I,2030,0.9
Greece,Ag_Dimitriou_I,2035,0.9
Greece,Ag_Dimitriou_I,2040,0.9
Greece,Ag_Dimitriou_I,2045,0.9
Greece,Ag_Dimitriou_I,2050,0.9
Greece,Ag_Dimitriou_II,2023,0.9
Greece,Ag_Dimitriou_II,2025,0.9
Greece,Ag_Dimitriou_II,2030,0.9
Greece,Ag_Dimitriou_II,2035,0.9
Greece,Ag_Dimitriou_II,2040,0.9
Greece,Ag_Dimitriou_II,2045,0.9
Greece,Ag_Dimitriou_II,2050,0.9
Greece,Ag_Dimitriou_III,2023,0.9
Greece,Ag_Dimitriou_III,2025,0.9
Greece,Ag_Dimitriou_III,2030,0.9
Greece,Ag_Dimitriou_III,2035,0.9
Greece,Ag_Dimitriou_III,2040,0.9
Greece,Ag_Dimitriou_III,2045,0.9
Greece,Ag_Dimitriou_III,2050,0.9
Greece,Ag_Dimitriou_IV,2023,0.9
Greece,Ag_Dimitriou_IV,2025,0.9
Greece,Ag_Dimitriou_IV,2030,0.9
Greece,Ag_Dimitriou_IV,2035,0.9
Greece,Ag_Dimitriou_IV,2040,0.9
Greece,Ag_Dimitriou_IV,2045,0.9
Greece,Ag_Dimitriou_IV,2050,0.9
Greece,Ag_Dimitriou_V,2023,0.9
Greece,Ag_Dimitriou_V,2025,0.9
Greece,Ag_Dimitriou_V,2030,0.9
Greece,Ag_Dimitriou_V,2035,0.9
Greece,Ag_Dimitriou_V,2040,0.9
Greece,Ag_Dimitriou_V,2045,0.9
Greece,Ag_Dimitriou_V,2050,0.9
Greece,Agra,2023,0.8
Greece,Agra,2025,0.8
Greece,Agra,2030,0.8
Greece,Agra,2035,0.8
Greece,Agra,2040,0.8
Greece,Agra,2045,0.8
Greece,Agra,2050,0.8
Greece,AIS_Aliveriou,2023,0.9
Greece,AIS_Aliveriou,2025,0.9
Greece,AIS_Aliveriou,2030,0.9
Greece,AIS_Aliveriou,2035,0.9
Greece,AIS_Aliveriou,2040,0.9
Greece,AIS_Aliveriou,2045,0.9
Greece,AIS_Aliveriou,2050,0.9
Greece,AIS_Komotinis,2023,0.9
Greece,AIS_Komotinis,2025,0.9
Greece,AIS_Komotinis,2030,0.9
Greece,AIS_Komotinis,2035,0.9
Greece,AIS_Komotinis,2040,0.9
Greece,AIS_Komotinis,2045,0.9
Greece,AIS_Komotinis,2050,0.9
Greece,AIS_Lavriou_IV,2023,0.9
Greece,AIS_Lavriou_IV,2025,0.9
Greece,AIS_Lavriou_IV,2030,0.9
Greece,AIS_Lavriou_IV,2035,0.9
Greece,AIS_Lavriou_IV,2040,0.9
Greece,AIS_Lavriou_IV,2045,0.9
Greece,AIS_Lavriou_IV,2050,0.9
Greece,AIS_Lavriou_V,2023,0.9
Greece,AIS_Lavriou_V,2025,0.9
Greece,AIS_Lavriou_V,2030,0.9
Greece,AIS_Lavriou_V,2035,0.9
Greece,AIS_Lavriou_V,2040,0.9
Greece,AIS_Lavriou_V,2045,0.9
Greece,AIS_Lavriou_V,2050,0.9
Greece,AIS_Megalopoli_V,2023,0.9
Greece,AIS_Megalopoli_V,2025,0.9
Greece,AIS_Megalopoli_V,2030,0.9
Greece,AIS_Megalopoli_V,2035,0.9
Greece,AIS_Megalopoli_V,2040,0.9
Greece,AIS_Megalopoli_V,2045,0.9
Greece,AIS_Megalopoli_V,2050,0.9
Greece,Alouminion,2023,0.9
Greece,Alouminion,2025,0.9
Greece,Alouminion,2030,0.9
Greece,Alouminion,2035,0.9
Greece,Alouminion,2040,0.9
Greece,Alouminion,2045,0.9
Greece,Alouminion,2050,0.9
Greece,Asomaton,2023,0.8
Greece,Asomaton,2025,0.8
Greece,Asomaton,2030,0.8
Greece,Asomaton,2035,0.8
Greece,Asomaton,2040,0.8
Greece,Asomaton,2045,0.8
Greece,Asomaton,2050,0.8
Crete,Atherinolakos,2023,0.9
Crete,Atherinolakos,2025,0.9
Crete,Atherinolakos,2030,0.9
Crete,Atherinolakos,2035,0.9
Crete,Atherinolakos,2040,0.9
Crete,Atherinolakos,2045,0.9
Crete,Atherinolakos,2050,0.9
Crete,Atherinolakos_Diesel,2023,0.9
Crete,Atherinolakos_Diesel,2025,0.9
Crete,Atherinolakos_Diesel,2030,0.9
Crete,Atherinolakos_Diesel,2035,0.9
Crete,Atherinolakos_Diesel,2040,0.9
Crete,Atherinolakos_Diesel,2045,0.9
Crete,Atherinolakos_Diesel,2050,0.9
Greece,Biomass,2023,0.9
Greece,Biomass,2025,0.9
Greece,Biomass,2030,0.9
Greece,Biomass,2035,0.9
Greece,Biomass,2040,0.9
Greece,Biomass,2045,0.9
Greece,Biomass,2050,0.9
Greece,Biomass_CCS,2023,0.9
Greece,Biomass_CCS,2025,0.9
Greece,Biomass_CCS,2030,0.9
Greece,Biomass_CCS,2035,0.9
Greece,Biomass_CCS,2040,0.9
Greece,Biomass_CCS,2045,0.9
Greece,Biomass_CCS,2050,0.9
Greece,Biomass_Ex,2023,0.9
Greece,Biomass_Ex,2025,0.9
Greece,Biomass_Ex,2030,0.9
Greece,Biomass_Ex,2035,0.9
Greece,Biomass_Ex,2040,0.9
Greece,Biomass_Ex,2045,0.9
Greece,Biomass_Ex,2050,0.9
Greece,CCGT,2023,0.9
Greece,CCGT,2025,0.9
Greece,CCGT,2030,0.9
Greece,CCGT,2035,0.9
Greece,CCGT,2040,0.9
Greece,CCGT,2045,0.9
Greece,CCGT,2050,0.9
Greece,Chios,2023,0.9
Greece,Chios,2025,0.9
Greece,Chios,2030,0.9
Greece,Chios,2035,0.9
Greece,Chios,2040,0.9
Greece,Chios,2045,0.9
Greece,Chios,2050,0.9
Greece,Edeseou,2023,0.8
Greece,Edeseou,2025,0.8
Greece,Edeseou,2030,0.8
Greece,Edeseou,2035,0.8
Greece,Edeseou,2040,0.8
Greece,Edeseou,2045,0.8
Greece,Edeseou,2050,0.8
Greece,ELPEDISON,2023,0.9
Greece,ELPEDISON,2025,0.9
Greece,ELPEDISON,2030,0.9
Greece,ELPEDISON,2035,0.9
Greece,ELPEDISON,2040,0.9
Greece,ELPEDISON,2045,0.9
Greece,ELPEDISON,2050,0.9
Greece,Energ_Thesalonikis,2023,0.9
Greece,Energ_Thesalonikis,2025,0.9
Greece,Energ_Thesalonikis,2030,0.9
Greece,Energ_Thesalonikis,2035,0.9
Greece,Energ_Thesalonikis,2040,0.9
Greece,Energ_Thesalonikis,2045,0.9
Greece,Energ_Thesalonikis,2050,0.9
Greece,Gas_CCS,2023,0.9
Greece,Gas_CCS,2025,0.9
Greece,Gas_CCS,2030,0.9
Greece,Gas_CCS,2035,0.9
Greece,Gas_CCS,2040,0.9
Greece,Gas_CCS,2045,0.9
Greece,Gas_CCS,2050,0.9
Greece,Geothermal_HI,2023,0.9
Greece,Geothermal_HI,2025,0.9
Greece,Geothermal_HI,2030,0.9
Greece,Geothermal_HI,2035,0.9
Greece,Geothermal_HI,2040,0.9
Greece,Geothermal_HI,2045,0.9
Greece,Geothermal_HI,2050,0.9
Greece,Geothermal_ME,2023,0.9
Greece,Geothermal_ME,2025,0.9
Greece,Geothermal_ME,2030,0.9
Greece,Geothermal_ME,2035,0.9
Greece,Geothermal_ME,2040,0.9
Greece,Geothermal_ME,2045,0.9
Greece,Geothermal_ME,2050,0.9
Greece,HydroStor,2023,0.8
Greece,HydroStor,2025,0.8
Greece,HydroStor,2030,0.8
Greece,HydroStor,2035,0.8
Greece,HydroStor,2040,0.8
Greece,HydroStor,2045,0.8
Greece,HydroStor,2050,0.8
Greece,Ilariona,2023,0.8
Greece,Ilariona,2025,0.8
Greece,Ilariona,2030,0.8
Greece,Ilariona,2035,0.8
Greece,Ilariona,2040,0.8
Greece,Ilariona,2045,0.8
Greece,Ilariona,2050,0.8
Greece,Iron_I,2023,0.9
Greece,Iron_I,2025,0.9
Greece,Iron_I,2030,0.9
Greece,Iron_I,2035,0.9
Greece,Iron_I,2040,0.9
Greece,Iron_I,2045,0.9
Greece,Iron_I,2050,0.9
Greece,Iron_II,2023,0.9
Greece,Iron_II,2025,0.9
Greece,Iron_II,2030,0.9
Greece,Iron_II,2035,0.9
Greece,Iron_II,2040,0.9
Greece,Iron_II,2045,0.9
Greece,Iron_II,2050,0.9
Greece,Iron_III,2023,0.9
Greece,Iron_III,2025,0.9
Greece,Iron_III,2030,0.9
Greece,Iron_III,2035,0.9
Greece,Iron_III,2040,0.9
Greece,Iron_III,2045,0.9
Greece,Iron_III,2050,0.9
Greece,IronII_CCGT,2023,0.9
Greece,IronII_CCGT,2025,0.9
Greece,IronII_CCGT,2030,0.9
Greece,IronII_CCGT,2035,0.9
Greece,IronII_CCGT,2040,0.9
Greece,IronII_CCGT,2045,0.9
Greece,IronII_CCGT,2050,0.9
Greece,Karpathos,2023,0.9
Greece,Karpathos,2025,0.9
Greece,Karpathos,2030,0.9
Greece,Karpathos,2035,0.9
Greece,Karpathos,2040,0.9
Greece,Karpathos,2045,0.9
Greece,Karpathos,2050,0.9
Greece,Kastrakiou,2023,0.8
Greece,Kastrakiou,2025,0.8
Greece,Kastrakiou,2030,0.8
Greece,Kastrakiou,2035,0.8
Greece,Kastrakiou,2040,0.8
Greece,Kastrakiou,2045,0.8
Greece,Kastrakiou,2050,0.8
Greece,KORINTHOS_POWER,2023,0.9
Greece,KORINTHOS_POWER,2025,0.9
Greece,KORINTHOS_POWER,2030,0.9
Greece,KORINTHOS_POWER,2035,0.9
Greece,KORINTHOS_POWER,2040,0.9
Greece,KORINTHOS_POWER,2045,0.9
Greece,KORINTHOS_POWER,2050,0.9
Greece,Kos_Kalymnos,2023,0.9
Greece,Kos_Kalymnos,2025,0.9
Greece,Kos_Kalymnos,2030,0.9
Greece,Kos_Kalymnos,2035,0.9
Greece,Kos_Kalymnos,2040,0.9
Greece,Kos_Kalymnos,2045,0.9
Greece,Kos_Kalymnos,2050,0.9
Greece,Kremaston,2023,0.8
Greece,Kremaston,2025,0.8
Greece,Kremaston,2030,0.8
Greece,Kremaston,2035,0.8
Greece,Kremaston,2040,0.8
Greece,Kremaston,2045,0.8
Greece,Kremaston,2050,0.8
Greece,Ladona,2023,0.8
Greece,Ladona,2025,0.8
Greece,Ladona,2030,0.8
Greece,Ladona,2035,0.8
Greece,Ladona,2040,0.8
Greece,Ladona,2045,0.8
Greece,Ladona,2050,0.8
Greece,Lemnos,2023,0.9
Greece,Lemnos,2025,0.9
Greece,Lemnos,2030,0.9
Greece,Lemnos,2035,0.9
Greece,Lemnos,2040,0.9
Greece,Lemnos,2045,0.9
Greece,Lemnos,2050,0.9
Greece,Lesvos,2023,0.9
Greece,Lesvos,2025,0.9
Greece,Lesvos,2030,0.9
Greece,Lesvos,2035,0.9
Greece,Lesvos,2040,0.9
Greece,Lesvos,2045,0.9
Greece,Lesvos,2050,0.9
Crete,Linoperamata,2023,0.9
Crete,Linoperamata,2025,0.9
Crete,Linoperamata,2030,0.9
Crete,Linoperamata,2035,0.9
Crete,Linoperamata,2040,0.9
Crete,Linoperamata,2045,0.9
Crete,Linoperamata,2050,0.9
Greece,Megalopolis_III,2023,0.9
Greece,Megalopolis_III,2025,0.9
Greece,Megalopolis_III,2030,0.9
Greece,Megalopolis_III,2035,0.9
Greece,Megalopolis_III,2040,0.9
Greece,Megalopolis_III,2045,0.9
Greece,Megalopolis_III,2050,0.9
Greece,Megalopolis_IV,2023,0.9
Greece,Megalopolis_IV,2025,0.9
Greece,Megalopolis_IV,2030,0.9
Greece,Megalopolis_IV,2035,0.9
Greece,Megalopolis_IV,2040,0.9
Greece,Megalopolis_IV,2045,0.9
Greece,Megalopolis_IV,2050,0.9
Greece,Melitis_I,2023,0.9
Greece,Melitis_I,2025,0.9
Greece,Melitis_I,2030,0.9
Greece,Melitis_I,2035,0.9
Greece,Melitis_I,2040,0.9
Greece,Melitis_I,2045,0.9
Greece,Melitis_I,2050,0.9
Greece,OCGT,2023,0.9
Greece,OCGT,2025,0.9
Greece,OCGT,2030,0.9
Greece,OCGT,2035,0.9
Greece,OCGT,2040,0.9
Greece,OCGT,2045,0.9
Greece,OCGT,2050,0.9
Greece,OffshoreWind,2023,0.4
Greece,OffshoreWind,2025,0.4
Greece,OffshoreWind,2030,0.4
Greece,OffshoreWind,2035,0.4
Greece,OffshoreWind,2040,0.4
Greece,OffshoreWind,2045,0.4
Greece,OffshoreWind,2050,0.4
Greece,Other_Aegean,2023,0.9
Greece,Other_Aegean,2025,0.9
Greece,Other_Aegean,2030,0.9
Greece,Other_Aegean,2035,0.9
Greece,Other_Aegean,2040,0.9
Greece,Other_Aegean,2045,0.9
Greece,Other_Aegean,2050,0.9
Greece,Other_Cyclades,2023,0.9
Greece,Other_Cyclades,2025,0.9
Greece,Other_Cyclades,2030,0.9
Greece,Other_Cyclades,2035,0.9
Greece,Other_Cyclades,2040,0.9
Greece,Other_Cyclades,2045,0.9
Greece,Other_Cyclades,2050,0.9
Greece,Pigwn_Aoou,2023,0.8
Greece,Pigwn_Aoou,2025,0.8
Greece,Pigwn_Aoou,2030,0.8
Greece,Pigwn_Aoou,2035,0.8
Greece,Pigwn_Aoou,2040,0.8
Greece,Pigwn_Aoou,2045,0.8
Greece,Pigwn_Aoou,2050,0.8
Greece,Plastira,2023,0.8
Greece,Plastira,2025,0.8
Greece,Plastira,2030,0.8
Greece,Plastira,2035,0.8
Greece,Plastira,2040,0.8
Greece,Plastira,2045,0.8
Greece,Plastira,2050,0.8
Greece,Platanovrisis,2023,0.8
Greece,Platanovrisis,2025,0.8
Greece,Platanovrisis,2030,0.8
Greece,Platanovrisis,2035,0.8
Greece,Platanovrisis,2040,0.8
Greece,Platanovrisis,2045,0.8
Greece,Platanovrisis,2050,0.8
Greece,Polifitou,2023,0.8
Greece,Polifitou,2025,0.8
Greece,Polifitou,2030,0.8
Greece,Polifitou,2035,0.8
Greece,Polifitou,2040,0.8
Greece,Polifitou,2045,0.8
Greece,Polifitou,2050,0.8
Greece,Pournarou_I,2023,0.8
Greece,Pournarou_I,2025,0.8
Greece,Pournarou_I,2030,0.8
Greece,Pournarou_I,2035,0.8
Greece,Pournarou_I,2040,0.8
Greece,Pournarou_I,2045,0.8
Greece,Pournarou_I,2050,0.8
Greece,Pournarou_II,2023,0.8
Greece,Pournarou_II,2025,0.8
Greece,Pournarou_II,2030,0.8
Greece,Pournarou_II,2035,0.8
Greece,Pournarou_II,2040,0.8
Greece,Pournarou_II,2045,0.8
Greece,Pournarou_II,2050,0.8
Greece,PROTERGIA_CC,2023,0.9
Greece,PROTERGIA_CC,2025,0.9
Greece,PROTERGIA_CC,2030,0.9
Greece,PROTERGIA_CC,2035,0.9
Greece,PROTERGIA_CC,2040,0.9
Greece,PROTERGIA_CC,2045,0.9
Greece,PROTERGIA_CC,2050,0.9
Greece,Ptolemaidas_V,2023,0.9
Greece,Ptolemaidas_V,2025,0.9
Greece,Ptolemaidas_V,2030,0.9
Greece,Ptolemaidas_V,2035,0.9
Greece,Ptolemaidas_V,2040,0.9
Greece,Ptolemaidas_V,2045,0.9
Greece,Ptolemaidas_V,2050,0.9
Greece,PV,2023,0.1
Greece,PV,2025,0.1
Greece,PV,2030,0.1
Greece,PV,2035,0.1
Greece,PV,2040,0.1
Greece,PV,2045,0.1
Greece,PV,2050,0.1
Greece,PV_Ex,2023,0.1
Greece,PV_Ex,2025,0.1
Greece,PV_Ex,2030,0.1
Greece,PV_Ex,2035,0.1
Greece,PV_Ex,2040,0.1
Greece,PV_Ex,2045,0.1
Greece,PV_Ex,2050,0.1
Greece,Rodos,2023,0.9
Greece,Rodos,2025,0.9
Greece,Rodos,2030,0.9
Greece,Rodos,2035,0.9
Greece,Rodos,2040,0.9
Greece,Rodos,2045,0.9
Greece,Rodos,2050,0.9
Greece,RooftopPV,2023,0.1
Greece,RooftopPV,2025,0.1
Greece,RooftopPV,2030,0.1
Greece,RooftopPV,2035,0.1
Greece,RooftopPV,2040,0.1
Greece,RooftopPV,2045,0.1
Greece,RooftopPV,2050,0.1
Greece,RooftopPV_Ex,2023,0.1
Greece,RooftopPV_Ex,2025,0.1
Greece,RooftopPV_Ex,2030,0.1
Greece,RooftopPV_Ex,2035,0.1
Greece,RooftopPV_Ex,2040,0.1
Greece,RooftopPV_Ex,2045,0.1
Greece,RooftopPV_Ex,2050,0.1
Greece,RoR,2023,0.5
Greece,RoR,2025,0.5
Greece,RoR,2030,0.5
Greece,RoR,2035,0.5
Greece,RoR,2040,0.5
Greece,RoR,2045,0.5
Greece,RoR,2050,0.5
Greece,RoR_Ex,2023,0.5
Greece,RoR_Ex,2025,0.5
Greece,RoR_Ex,2030,0.5
Greece,RoR_Ex,2035,0.5
Greece,RoR_Ex,2040,0.5
Greece,RoR_Ex,2045,0.5
Greece,RoR_Ex,2050,0.5
Greece,Samos,2023,0.9
Greece,Samos,2025,0.9
Greece,Samos,2030,0.9
Greece,Samos,2035,0.9
Greece,Samos,2040,0.9
Greece,Samos,2045,0.9
Greece,Samos,2050,0.9
Greece,Stratou_I,2023,0.8
Greece,Stratou_I,2025,0.8
Greece,Stratou_I,2030,0.8
Greece,Stratou_I,2035,0.8
Greece,Stratou_I,2040,0.8
Greece,Stratou_I,2045,0.8
Greece,Stratou_I,2050,0.8
Greece,Thira,2023,0.9
Greece,Thira,2025,0.9
Greece,Thira,2030,0.9
Greece,Thira,2035,0.9
Greece,Thira,2040,0.9
Greece,Thira,2045,0.9
Greece,Thira,2050,0.9
Greece,THIS_Ag.Nikolaos,2023,0.9
Greece,THIS_Ag.Nikolaos,2025,0.9
Greece,THIS_Ag.Nikolaos,2030,0.9
Greece,THIS_Ag.Nikolaos,2035,0.9
