REGION,EMISSION,YEAR,VALUE
Greece,CO2,2023,96.7689
Greece,CO2,2025,0
Greece,CO2,2030,0
Greece,CO2,2035,0
Greece,CO2,2040,0
Greece,CO2,2045,0
Greece,CO2,2050,0
