REGION,STORAGE,VALUE
Greece,BATTERY_STORAGE,0.08
Greece,BATTERY_STORAGE_NEW,0.08
Crete,BATTERY_STORAGE,0.08
Crete,BATTERY_STORAGE_NEW,0.08
