REGION,TECHNOLOGY,STORAGE,MODE_OF_OPERATION,VALUE
Greece,Batteries,BATTERY_STORAGE,1,1
Greece,Batteries_New,BATTERY_STORAGE_NEW,1,1
Crete,Batteries,BATTERY_STORAGE,1,1
Crete,Batteries_New,BATTERY_STORAGE_NEW,1,1
