REGION,INTERCONNECTION,TIMESLICE,YEAR,VALUE
Greece,ALBANIA,m1_d4_t24,2023,33.31030798
Greece,ALBANIA,m1_d5_t1,2023,20.2914355
Greece,ALBANIA,m1_d5_t2,2023,13.71518171
Greece,ALBANIA,m1_d5_t3,2023,14.80536282
Greece,ALBANIA,m1_d5_t4,2023,14.45369149
Greece,ALBANIA,m1_d5_t5,2023,15.47353834
Greece,ALBANIA,m1_d5_t6,2023,19.71293617
Greece,ALBANIA,m1_d5_t7,2023,24.19498722
Greece,ALBANIA,m1_d5_t8,2023,23.62879638
Greece,ALBANIA,m1_d5_t9,2023,24.99679784
Greece,ALBANIA,m1_d5_t10,2023,21.43612567
Greece,ALBANIA,m1_d5_t11,2023,21.6049279
Greece,ALBANIA,m1_d5_t12,2023,21.43612567
Greece,ALBANIA,m1_d5_t13,2023,21.43612567
Greece,ALBANIA,m1_d5_t14,2023,21.43612567
Greece,ALBANIA,m1_d5_t15,2023,25.23065927
Greece,ALBANIA,m1_d5_t16,2023,22.65818352
Greece,ALBANIA,m1_d5_t17,2023,23.74133121
Greece,ALBANIA,m1_d5_t18,2023,25.82674217
Greece,ALBANIA,m1_d5_t19,2023,25.09878252
Greece,ALBANIA,m1_d5_t20,2023,23.68330544
Greece,ALBANIA,m1_d5_t21,2023,21.93725731
Greece,ALBANIA,m1_d5_t22,2023,29.87623749
Greece,ALBANIA,m1_d5_t23,2023,19.87294662
Greece,ALBANIA,m1_d5_t24,2023,18.4223024
Greece,ALBANIA,m2_d1_t1,2023,17.54136573
Greece,ALBANIA,m2_d1_t2,2023,18.82496607
Greece,ALBANIA,m2_d1_t3,2023,22.74961807
Greece,ALBANIA,m2_d1_t4,2023,26.26457297
Greece,ALBANIA,m2_d1_t5,2023,24.48863277
Greece,ALBANIA,m2_d1_t6,2023,16.5900948
Greece,ALBANIA,m2_d1_t7,2023,18.74232331
Greece,ALBANIA,m2_d1_t8,2023,20.17538396
Greece,ALBANIA,m2_d1_t9,2023,20.58859777
Greece,ALBANIA,m2_d1_t10,2023,16.72021319
Greece,ALBANIA,m2_d1_t11,2023,10.48332222
Greece,ALBANIA,m2_d1_t12,2023,12.83600339
Greece,ALBANIA,m2_d1_t13,2023,11.95682508
Greece,ALBANIA,m2_d1_t14,2023,11.60515375
Greece,ALBANIA,m2_d1_t15,2023,18.94980939
Greece,ALBANIA,m2_d1_t16,2023,19.549409
Greece,ALBANIA,m2_d1_t17,2023,21.06511242
Greece,ALBANIA,m2_d1_t18,2023,23.64110488
Greece,ALBANIA,m2_d1_t19,2023,27.27914474
Greece,ALBANIA,m2_d1_t20,2023,26.87296436
Greece,ALBANIA,m2_d1_t21,2023,23.38965988
Greece,ALBANIA,m2_d1_t22,2023,20.71519945
Greece,ALBANIA,m2_d1_t23,2023,29.12190249
Greece,ALBANIA,m2_d1_t24,2023,20.57804763
Greece,ALBANIA,m2_d2_t1,2023,25.79509175
Greece,ALBANIA,m2_d2_t2,2023,38.43591756
Greece,ALBANIA,m2_d2_t3,2023,26.51777632
Greece,ALBANIA,m2_d2_t4,2023,23.80814876
Greece,ALBANIA,m2_d2_t5,2023,23.38614317
Greece,ALBANIA,m2_d2_t6,2023,27.95611205
Greece,ALBANIA,m2_d2_t7,2023,35.16713258
Greece,ALBANIA,m2_d2_t8,2023,22.50696485
Greece,ALBANIA,m2_d2_t9,2023,25.47858756
Greece,ALBANIA,m2_d2_t10,2023,20.98950308
Greece,ALBANIA,m2_d2_t11,2023,19.25400509
Greece,ALBANIA,m2_d2_t12,2023,18.20778289
Greece,ALBANIA,m2_d2_t13,2023,17.23013661
Greece,ALBANIA,m2_d2_t14,2023,17.37783857
Greece,ALBANIA,m2_d2_t15,2023,18.84430799
Greece,ALBANIA,m2_d2_t16,2023,21.71570437
Greece,ALBANIA,m2_d2_t17,2023,26.44040863
Greece,ALBANIA,m2_d2_t18,2023,36.0463109
Greece,ALBANIA,m2_d2_t19,2023,52.75069887
Greece,ALBANIA,m2_d2_t20,2023,52.75069887
Greece,ALBANIA,m2_d2_t21,2023,47.34902731
Greece,ALBANIA,m2_d2_t22,2023,44.14002646
Greece,ALBANIA,m2_d2_t23,2023,40.079981
Greece,ALBANIA,m2_d2_t24,2023,32.71246673
Greece,ALBANIA,m2_d3_t1,2023,27.00835782
Greece,ALBANIA,m2_d3_t2,2023,26.12917951
Greece,ALBANIA,m2_d3_t3,2023,21.22336451
Greece,ALBANIA,m2_d3_t4,2023,18.61396328
Greece,ALBANIA,m2_d3_t5,2023,25.83025888
Greece,ALBANIA,m2_d3_t6,2023,22.57729912
Greece,ALBANIA,m2_d3_t7,2023,41.29500544
Greece,ALBANIA,m2_d3_t8,2023,35.16713258
Greece,ALBANIA,m2_d3_t9,2023,27.78203474
Greece,ALBANIA,m2_d3_t10,2023,21.17764724
Greece,ALBANIA,m2_d3_t11,2023,20.31956921
Greece,ALBANIA,m2_d3_t12,2023,18.65792219
Greece,ALBANIA,m2_d3_t13,2023,18.06535601
Greece,ALBANIA,m2_d3_t14,2023,20.86817647
Greece,ALBANIA,m2_d3_t15,2023,20.86817647
Greece,ALBANIA,m2_d3_t16,2023,24.56951718
Greece,ALBANIA,m2_d3_t17,2023,36.58260967
Greece,ALBANIA,m2_d3_t18,2023,36.32413124
Greece,ALBANIA,m2_d3_t19,2023,55.08403812
Greece,ALBANIA,m2_d3_t20,2023,48.5411931
Greece,ALBANIA,m2_d3_t21,2023,40.59869621
Greece,ALBANIA,m2_d3_t22,2023,36.179946
Greece,ALBANIA,m2_d3_t23,2023,35.29373426
Greece,ALBANIA,m2_d3_t24,2023,23.61472953
Greece,ALBANIA,m2_d4_t1,2023,28.13370607
Greece,ALBANIA,m2_d4_t2,2023,22.3346459
Greece,ALBANIA,m2_d4_t3,2023,18.18668262
Greece,ALBANIA,m2_d4_t4,2023,17.9440294
Greece,ALBANIA,m2_d4_t5,2023,19.65666876
Greece,ALBANIA,m2_d4_t6,2023,21.26029
