REGION,TECHNOLOGY,VALUE
EL62,PV_Ex,31.536
EL62,PV,31.536
EL62,RooftopPV_Ex,31.536
EL62,RooftopPV,31.536
EL62,Biomass_Ex,31.536
EL62,Biomass,31.536
EL62,Geothermal_HI,31.536
EL62,Geothermal_ME,31.536
EL62,OffshoreWind,31.536
EL62,Biomass_CCS,31.536
EL62,Gas_CCS,31.536
EL62,Batteries_New,31.536
EL63,HydroStor,31.536
EL63,RoR_Ex,31.536
EL63,RoR,31.536
EL63,Wind_Ex,31.536
EL63,Wind,31.536
EL63,PV_Ex,31.536
EL63,PV,31.536
EL63,RooftopPV_Ex,31.536
EL63,RooftopPV,31.536
EL63,Biomass_Ex,31.536
EL63,Biomass,31.536
EL63,Geothermal_HI,31.536
EL63,Geothermal_ME,31.536
EL63,OffshoreWind,31.536
EL63,Biomass_CCS,31.536
EL63,Gas_CCS,31.536
EL63,Batteries_New,31.536
EL64,HydroStor,31.536
EL64,RoR_Ex,31.536
EL64,RoR,31.536
EL64,Wind_Ex,31.536
EL64,Wind,31.536
EL64,PV_Ex,31.536
EL64,PV,31.536
EL64,RooftopPV_Ex,31.536
EL64,RooftopPV,31.536
EL64,Biomass_Ex,31.536
EL64,Biomass,31.536
EL64,Geothermal_HI,31.536
EL64,Geothermal_ME,31.536
EL64,OffshoreWind,31.536
EL64,Biomass_CCS,31.536
EL64,Gas_CCS,31.536
EL64,Batteries_New,31.536
EL30,HydroStor,31.536
EL30,RoR_Ex,31.536
EL30,RoR,31.536
EL30,Wind_Ex,31.536
EL30,Wind,31.536
EL30,PV_Ex,31.536
EL30,PV,31.536
EL30,RooftopPV_Ex,31.536
EL30,RooftopPV,31.536
EL30,Biomass_Ex,31.536
EL30,Biomass,31.536
EL30,Geothermal_HI,31.536
EL30,Geothermal_ME,31.536
EL30,OffshoreWind,31.536
EL30,Biomass_CCS,31.536
EL30,Gas_CCS,31.536
EL30,Batteries_New,31.536
EL65,HydroStor,31.536
EL65,RoR_Ex,31.536
EL65,RoR,31.536
EL65,Wind_Ex,31.536
EL65,Wind,31.536
EL65,PV_Ex,31.536
EL65,PV,31.536
EL65,RooftopPV_Ex,31.536
EL65,RooftopPV,31.536
EL65,Biomass_Ex,31.536
EL65,Biomass,31.536
EL65,Geothermal_HI,31.536
EL65,Geothermal_ME,31.536
EL65,OffshoreWind,31.536
EL65,Biomass_CCS,31.536
EL65,Gas_CCS,31.536
EL65,Batteries_New,31.536
Crete,RoR_Ex,31.536
Crete,RoR,31.536
Crete,Elec_Network,31.536
Crete,Wind_Ex,31.536
Crete,Wind,31.536
