REGION,INTERCONNECTION,VALUE
EL51,TURKEY,30
EL51,BULGARIA,30
EL52,BULGARIA,30
EL53,NORTH_MACEDONIA,30
EL53,ALBANIA,30
EL54,ALBANIA,30
EL54,ITALY,30
