REGION,INTERCONNECTION,TIMESLICE,YEAR,VALUE
EL53,ALBANIA,m1_d5_t14,2023,31.2144993
EL53,ALBANIA,m1_d5_t15,2023,36.73995984
EL53,ALBANIA,m1_d5_t16,2023,32.99401509
EL53,ALBANIA,m1_d5_t17,2023,34.57125498
EL53,ALBANIA,m1_d5_t18,2023,37.60795387
EL53,ALBANIA,m1_d5_t19,2023,36.54792576
EL53,ALBANIA,m1_d5_t20,2023,34.48675999
EL53,ALBANIA,m1_d5_t21,2023,31.94422879
EL53,ALBANIA,m1_d5_t22,2023,43.5046803
EL53,ALBANIA,m1_d5_t23,2023,28.93825536
EL53,ALBANIA,m1_d5_t24,2023,26.8258805
EL53,ALBANIA,m2_d1_t1,2023,25.54309285
EL53,ALBANIA,m2_d1_t2,2023,27.41222455
EL53,ALBANIA,m2_d1_t3,2023,33.12715871
EL53,ALBANIA,m2_d1_t4,2023,38.24550701
EL53,ALBANIA,m2_d1_t5,2023,35.65944809
EL53,ALBANIA,m2_d1_t6,2023,24.15788704
EL53,ALBANIA,m2_d1_t7,2023,27.29188319
EL53,ALBANIA,m2_d1_t8,2023,29.37865351
EL53,ALBANIA,m2_d1_t9,2023,29.98036029
EL53,ALBANIA,m2_d1_t10,2023,24.34736066
EL53,ALBANIA,m2_d1_t11,2023,15.26542899
EL53,ALBANIA,m2_d1_t12,2023,18.69131694
EL53,ALBANIA,m2_d1_t13,2023,17.41108976
EL53,ALBANIA,m2_d1_t14,2023,16.89899888
EL53,ALBANIA,m2_d1_t15,2023,27.59401681
EL53,ALBANIA,m2_d1_t16,2023,28.46713175
EL53,ALBANIA,m2_d1_t17,2023,30.67424342
EL53,ALBANIA,m2_d1_t18,2023,34.42530908
EL53,ALBANIA,m2_d1_t19,2023,39.72288919
EL53,ALBANIA,m2_d1_t20,2023,39.13142423
EL53,ALBANIA,m2_d1_t21,2023,34.05916411
EL53,ALBANIA,m2_d1_t22,2023,30.164713
EL53,ALBANIA,m2_d1_t23,2023,42.40624537
EL53,ALBANIA,m2_d1_t24,2023,29.96499756
EL53,ALBANIA,m2_d2_t1,2023,37.56186569
EL53,ALBANIA,m2_d2_t2,2023,55.9689722
EL53,ALBANIA,m2_d2_t3,2023,38.61421244
EL53,ALBANIA,m2_d2_t4,2023,34.66855225
EL53,ALBANIA,m2_d2_t5,2023,34.0540432
EL53,ALBANIA,m2_d2_t6,2023,40.70866412
EL53,ALBANIA,m2_d2_t7,2023,51.20908752
EL53,ALBANIA,m2_d2_t8,2023,32.77381601
EL53,ALBANIA,m2_d2_t9,2023,37.10098391
EL53,ALBANIA,m2_d2_t10,2023,30.56414388
