REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
EL62,BackStop,1,2040,9999
EL62,BackStop,1,2045,9999
EL62,BackStop,1,2050,9999
EL63,BackStop,1,2023,9999
EL63,BackStop,1,2025,9999
EL63,BackStop,1,2030,9999
EL63,BackStop,1,2035,9999
EL63,BackStop,1,2040,9999
EL63,BackStop,1,2045,9999
EL63,BackStop,1,2050,9999
EL64,BackStop,1,2023,9999
EL64,BackStop,1,2025,9999
EL64,BackStop,1,2030,9999
EL64,BackStop,1,2035,9999
EL64,BackStop,1,2040,9999
EL64,BackStop,1,2045,9999
EL64,BackStop,1,2050,9999
EL30,BackStop,1,2023,9999
EL30,BackStop,1,2025,9999
EL30,BackStop,1,2030,9999
EL30,BackStop,1,2035,9999
EL30,BackStop,1,2040,9999
EL30,BackStop,1,2045,9999
EL30,BackStop,1,2050,9999
EL65,BackStop,1,2023,9999
EL65,BackStop,1,2025,9999
EL65,BackStop,1,2030,9999
EL65,BackStop,1,2035,9999
EL65,BackStop,1,2040,9999
EL65,BackStop,1,2045,9999
EL65,BackStop,1,2050,9999
EL51,Biomass,1,2023,1.05
EL51,Biomass,1,2025,1.05
EL51,Biomass,1,2030,1.05
EL51,Biomass,1,2035,1.05
EL51,Biomass,1,2040,1.05
EL51,Biomass,1,2045,1.05
EL51,Biomass,1,2050,1.05
EL52,Biomass,1,2023,1.05
EL52,Biomass,1,2025,1.05
EL52,Biomass,1,2030,1.05
EL52,Biomass,1,2035,1.05
EL52,Biomass,1,2040,1.05
EL52,Biomass,1,2045,1.05
EL52,Biomass,1,2050,1.05
EL53,Biomass,1,2023,1.05
EL53,Biomass,1,2025,1.05
EL53,Biomass,1,2030,1.05
EL53,Biomass,1,2035,1.05
EL53,Biomass,1,2040,1.05
EL53,Biomass,1,2045,1.05
EL53,Biomass,1,2050,1.05
EL54,Biomass,1,2023,1.05
EL54,Biomass,1,2025,1.05
EL54,Biomass,1,2030,1.05
EL54,Biomass,1,2035,1.05
EL54,Biomass,1,2040,1.05
EL54,Biomass,1,2045,1.05
EL54,Biomass,1,2050,1.05
EL61,Biomass,1,2023,1.05
EL61,Biomass,1,2025,1.05
EL61,Biomass,1,2030,1.05
EL61,Biomass,1,2035,1.05
EL61,Biomass,1,2040,1.05
EL61,Biomass,1,2045,1.05
EL61,Biomass,1,2050,1.05
EL62,Biomass,1,2023,1.05
EL62,Biomass,1,2025,1.05
EL62,Biomass,1,2030,1.05
EL62,Biomass,1,2035,1.05
EL62,Biomass,1,2040,1.05
EL62,Biomass,1,2045,1.05
EL62,Biomass,1,2050,1.05
EL63,Biomass,1,2023,1.05
EL63,Biomass,1,2025,1.05
EL63,Biomass,1,2030,1.05
EL63,Biomass,1,2035,1.05
EL63,Biomass,1,2040,1.05
EL63,Biomass,1,2045,1.05
EL63,Biomass,1,2050,1.05
EL64,Biomass,1,2023,1.05
EL64,Biomass,1,2025,1.05
EL64,Biomass,1,2030,1.05
EL64,Biomass,1,2035,1.05
EL64,Biomass,1,2040,1.05
EL64,Biomass,1,2045,1.05
EL64,Biomass,1,2050,1.05
EL30,Biomass,1,2023,1.05
EL30,Biomass,1,2025,1.05
EL30,Biomass,1,2030,1.05
EL30,Biomass,1,2035,1.05
EL30,Biomass,1,2040,1.05
EL30,Biomass,1,2045,1.05
EL30,Biomass,1,2050,1.05
EL65,Biomass,1,2023,1.05
EL65,Biomass,1,2025,1.05
EL65,Biomass,1,2030,1.05
EL65,Biomass,1,2035,1.05
EL65,Biomass,1,2040,1.05
EL65,Biomass,1,2045,1.05
EL65,Biomass,1,2050,1.05
EL51,Biomass_CCS,1,2023,8.33334
EL51,Biomass_CCS,1,2025,8.33334
EL51,Biomass_CCS,1,2030,8.33334
EL51,Biomass_CCS,1,2035,8.33334
EL51,Biomass_CCS,1,2040,8.33334
EL51,Biomass_CCS,1,2045,8.33334
EL51,Biomass_CCS,1,2050,8.33334
EL52,Biomass_CCS,1,2023,8.33334
EL52,Biomass_CCS,1,2025,8.33334
EL52,Biomass_CCS,1,2030,8.33334
EL52,Biomass_CCS,1,2035,8.33334
EL52,Biomass_CCS,1,2040,8.33334
EL52,Biomass_CCS,1,2045,8.33334
EL52,Biomass_CCS,1,2050,8.33334
EL53,Biomass_CCS,1,2023,8.33334
EL53,Biomass_CCS,1,2025,8.33334
EL53,Biomass_CCS,1,2030,8.33334
EL53,Biomass_CCS,1,2035,8.33334
