FUEL,YEAR,VALUE
Elec_Demand,2023,0.369
Elec_Demand,2025,0.369
Elec_Demand,2030,0.369
Elec_Demand,2035,0.369
Elec_Demand,2040,0.369
Elec_Demand,2045,0.369
Elec_Demand,2050,0.369
