REGION,TECHNOLOGY,VALUE
EL62,HPS_New,60
EL63,HydroStor,60
EL63,RoR_Ex,60
EL63,RoR,60
EL63,Wind_Ex,30
EL63,Wind,30
EL63,PV_Ex,30
EL63,PV,30
EL63,RooftopPV_Ex,30
EL63,RooftopPV,30
EL63,Biomass_Ex,40
EL63,Biomass,40
EL63,Geothermal_HI,60
EL63,Geothermal_ME,60
EL63,OffshoreWind,30
EL63,Batteries_New,15
EL63,Biomass_CCS,35
EL63,Gas_CCS,30
EL63,HPS_New,60
EL64,HydroStor,60
EL64,RoR_Ex,60
EL64,RoR,60
EL64,Wind_Ex,30
EL64,Wind,30
EL64,PV_Ex,30
EL64,PV,30
EL64,RooftopPV_Ex,30
EL64,RooftopPV,30
EL64,Biomass_Ex,40
EL64,Biomass,40
EL64,Geothermal_HI,60
EL64,Geothermal_ME,60
EL64,OffshoreWind,30
EL64,Batteries_New,15
EL64,Biomass_CCS,35
EL64,Gas_CCS,30
EL64,HPS_New,60
EL30,HydroStor,60
EL30,RoR_Ex,60
EL30,RoR,60
EL30,Wind_Ex,30
EL30,Wind,30
EL30,PV_Ex,30
EL30,PV,30
EL30,RooftopPV_Ex,30
EL30,RooftopPV,30
EL30,Biomass_Ex,40
EL30,Biomass,40
EL30,Geothermal_HI,60
EL30,Geothermal_ME,60
EL30,OffshoreWind,30
EL30,Batteries_New,15
EL30,Biomass_CCS,35
EL30,Gas_CCS,30
EL30,HPS_New,60
EL65,HydroStor,60
EL65,RoR_Ex,60
EL65,RoR,60
EL65,Wind_Ex,30
EL65,Wind,30
EL65,PV_Ex,30
EL65,PV,30
EL65,RooftopPV_Ex,30
EL65,RooftopPV,30
EL65,Biomass_Ex,40
EL65,Biomass,40
EL65,Geothermal_HI,60
EL65,Geothermal_ME,60
EL65,OffshoreWind,30
EL65,Batteries_New,15
EL65,Biomass_CCS,35
EL65,Gas_CCS,30
EL65,HPS_New,60
Crete,OffshoreWind,30
Crete,Batteries_New,15
Crete,RoR_Ex,60
Crete,RoR,60
Crete,Wind_Ex,30
Crete,Wind,30
Crete,PV_Ex,30
Crete,PV,30
Crete,RooftopPV_Ex,30
Crete,RooftopPV,30
Crete,Elec_Network,40
THIRA,OffshoreWind,30
THIRA,Batteries_New,15
THIRA,Wind_Ex,30
THIRA,Wind,30
THIRA,PV_Ex,30
THIRA,PV,30
THIRA,RooftopPV_Ex,30
THIRA,RooftopPV,30
THIRA,Elec_Network,40
SAMOS,OffshoreWind,30
SAMOS,Batteries_New,15
SAMOS,Wind_Ex,30
SAMOS,Wind,30
SAMOS,PV_Ex,30
SAMOS,PV,30
SAMOS,RooftopPV_Ex,30
SAMOS,RooftopPV,30
SAMOS,Elec_Network,40
CHIOS,OffshoreWind,30
CHIOS,Batteries_New,15
CHIOS,Wind_Ex,30
CHIOS,Wind,30
CHIOS,PV_Ex,30
CHIOS,PV,30
CHIOS,RooftopPV_Ex,30
CHIOS,RooftopPV,30
CHIOS,Elec_Network,40
LESVOS,OffshoreWind,30
LESVOS,Batteries_New,15
LESVOS,Wind_Ex,30
LESVOS,Wind,30
LESVOS,PV_Ex,30
LESVOS,PV,30
LESVOS,RooftopPV_Ex,30
LESVOS,RooftopPV,30
LESVOS,Elec_Network,40
LEMNOS,OffshoreWind,30
LEMNOS,Batteries_New,15
LEMNOS,Wind_Ex,30
LEMNOS,Wind,30
LEMNOS,PV_Ex,30
LEMNOS,PV,30
LEMNOS,RooftopPV_Ex,30
LEMNOS,RooftopPV,30
LEMNOS,Elec_Network,40
RODOS,OffshoreWind,30
RODOS,Batteries_New,15
RODOS,Wind_Ex,30
RODOS,Wind,30
RODOS,PV_Ex,30
