FUEL,YEAR,VALUE
Elec_Demand,2023,0.09
Elec_Demand,2025,1
Elec_Demand,2030,1
Elec_Demand,2035,1
Elec_Demand,2040,1
Elec_Demand,2045,1
Elec_Demand,2050,1
