REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
EL52,Biomass_CCS,CO2,1,2023,-0.2812
EL52,Biomass_CCS,CO2,1,2025,-0.2812
EL52,Biomass_CCS,CO2,1,2030,-0.2812
EL52,Biomass_CCS,CO2,1,2035,-0.2812
EL52,Biomass_CCS,CO2,1,2040,-0.2812
EL52,Biomass_CCS,CO2,1,2045,-0.2812
EL52,Biomass_CCS,CO2,1,2050,-0.2812
EL52,CCGT,CO2,1,2023,0.095153753
EL52,CCGT,CO2,1,2025,0.095153753
EL52,CCGT,CO2,1,2030,0.095153753
EL52,CCGT,CO2,1,2035,0.095153753
EL52,CCGT,CO2,1,2040,0.095153753
EL52,CCGT,CO2,1,2045,0.095153753
EL52,CCGT,CO2,1,2050,0.095153753
EL53,Biomass_CCS,CO2,1,2023,-0.2812
EL53,Biomass_CCS,CO2,1,2025,-0.2812
EL53,Biomass_CCS,CO2,1,2030,-0.2812
EL53,Biomass_CCS,CO2,1,2035,-0.2812
EL53,Biomass_CCS,CO2,1,2040,-0.2812
EL53,Biomass_CCS,CO2,1,2045,-0.2812
EL53,Biomass_CCS,CO2,1,2050,-0.2812
EL53,CCGT,CO2,1,2023,0.095153753
EL53,CCGT,CO2,1,2025,0.095153753
EL53,CCGT,CO2,1,2030,0.095153753
EL53,CCGT,CO2,1,2035,0.095153753
EL53,CCGT,CO2,1,2040,0.095153753
EL53,CCGT,CO2,1,2045,0.095153753
EL53,CCGT,CO2,1,2050,0.095153753
EL54,Biomass_CCS,CO2,1,2023,-0.2812
EL54,Biomass_CCS,CO2,1,2025,-0.2812
EL54,Biomass_CCS,CO2,1,2030,-0.2812
EL54,Biomass_CCS,CO2,1,2035,-0.2812
EL54,Biomass_CCS,CO2,1,2040,-0.2812
EL54,Biomass_CCS,CO2,1,2045,-0.2812
EL54,Biomass_CCS,CO2,1,2050,-0.2812
EL54,CCGT,CO2,1,2023,0.095153753
EL54,CCGT,CO2,1,2025,0.095153753
EL54,CCGT,CO2,1,2030,0.095153753
EL54,CCGT,CO2,1,2035,0.095153753
EL54,CCGT,CO2,1,2040,0.095153753
EL54,CCGT,CO2,1,2045,0.095153753
EL54,CCGT,CO2,1,2050,0.095153753
EL61,Biomass_CCS,CO2,1,2023,-0.2812
EL61,Biomass_CCS,CO2,1,2025,-0.2812
EL61,Biomass_CCS,CO2,1,2030,-0.2812
EL61,Biomass_CCS,CO2,1,2035,-0.2812
EL61,Biomass_CCS,CO2,1,2040,-0.2812
EL61,Biomass_CCS,CO2,1,2045,-0.2812
EL61,Biomass_CCS,CO2,1,2050,-0.2812
EL61,CCGT,CO2,1,2023,0.095153753
EL61,CCGT,CO2,1,2025,0.095153753
EL61,CCGT,CO2,1,2030,0.095153753
EL61,CCGT,CO2,1,2035,0.095153753
EL61,CCGT,CO2,1,2040,0.095153753
